Date,Question,Question Body,Reply
"Jul 17, 2022",Q&A - Browsing Profiles,"My basic security setup: W11 64 bit, UAC default, F-Secure Safe, Simple Windows Hardening, Firewall Hardening, Norton Power Eraser and SophosScanandClean as second opinion scanners, O&O Shutup10, Macrium Home and Syncback free, Sumo, Process Explorer and Autoruns.

Browsing profile for my secure surfing (mostly 25 sites like MalwareTips):
Chrome or Edge, Cira DNS for Canadians, F-Secure Browsing Protection and Adguard Ext. Bitwarden

Browsing profile for insecure browsing:
Enable a VPN ( Windscribe or Surfshark), Activate Sandboxie Plus and use Librewolf (uBlock Origin).

Do you guys use different browsers or different browser profiles to accommodate your surfing habits?","I am always connected to a VPN. I use Catsxp (a fork of Brave) 99% of the time. I use Edge for browsing YouTube, as I'm signed into my Google account on Edge. I'm never signed into Google on my main browser."
"Jul 17, 2022",Q&A - Browsing Profiles,"My basic security setup: W11 64 bit, UAC default, F-Secure Safe, Simple Windows Hardening, Firewall Hardening, Norton Power Eraser and SophosScanandClean as second opinion scanners, O&O Shutup10, Macrium Home and Syncback free, Sumo, Process Explorer and Autoruns.

Browsing profile for my secure surfing (mostly 25 sites like MalwareTips):
Chrome or Edge, Cira DNS for Canadians, F-Secure Browsing Protection and Adguard Ext. Bitwarden

Browsing profile for insecure browsing:
Enable a VPN ( Windscribe or Surfshark), Activate Sandboxie Plus and use Librewolf (uBlock Origin).

Do you guys use different browsers or different browser profiles to accommodate your surfing habits?","For banking and buying I use a different profile in MS Edge with strict security settings. The only extension is Adguard Browser Assistent, which is the link to the interface from Adguard for Windows. This improves the tracker protection and adds Google Safe Browsing (for what's worth). Next DNS is the last link in the security chain."
"Jul 17, 2022",Q&A - Browsing Profiles,"My basic security setup: W11 64 bit, UAC default, F-Secure Safe, Simple Windows Hardening, Firewall Hardening, Norton Power Eraser and SophosScanandClean as second opinion scanners, O&O Shutup10, Macrium Home and Syncback free, Sumo, Process Explorer and Autoruns.

Browsing profile for my secure surfing (mostly 25 sites like MalwareTips):
Chrome or Edge, Cira DNS for Canadians, F-Secure Browsing Protection and Adguard Ext. Bitwarden

Browsing profile for insecure browsing:
Enable a VPN ( Windscribe or Surfshark), Activate Sandboxie Plus and use Librewolf (uBlock Origin).

Do you guys use different browsers or different browser profiles to accommodate your surfing habits?","

What's the advantage over Brave? I can't find documentation about it."
"Jul 17, 2022",Q&A - Browsing Profiles,"My basic security setup: W11 64 bit, UAC default, F-Secure Safe, Simple Windows Hardening, Firewall Hardening, Norton Power Eraser and SophosScanandClean as second opinion scanners, O&O Shutup10, Macrium Home and Syncback free, Sumo, Process Explorer and Autoruns.

Browsing profile for my secure surfing (mostly 25 sites like MalwareTips):
Chrome or Edge, Cira DNS for Canadians, F-Secure Browsing Protection and Adguard Ext. Bitwarden

Browsing profile for insecure browsing:
Enable a VPN ( Windscribe or Surfshark), Activate Sandboxie Plus and use Librewolf (uBlock Origin).

Do you guys use different browsers or different browser profiles to accommodate your surfing habits?","

It has better tab management. For example, it can open every address entered in a new tab rather than the current tab and you can get it open new tabs to right of the current tab. Also, it is based on newer builds of Chromium than Brave is.
"
"Jul 17, 2022",Q&A - Browsing Profiles,"My basic security setup: W11 64 bit, UAC default, F-Secure Safe, Simple Windows Hardening, Firewall Hardening, Norton Power Eraser and SophosScanandClean as second opinion scanners, O&O Shutup10, Macrium Home and Syncback free, Sumo, Process Explorer and Autoruns.

Browsing profile for my secure surfing (mostly 25 sites like MalwareTips):
Chrome or Edge, Cira DNS for Canadians, F-Secure Browsing Protection and Adguard Ext. Bitwarden

Browsing profile for insecure browsing:
Enable a VPN ( Windscribe or Surfshark), Activate Sandboxie Plus and use Librewolf (uBlock Origin).

Do you guys use different browsers or different browser profiles to accommodate your surfing habits?","

It's made in PRC and there is no information about who is making it and there is no contact information. The FAQ about privacy states as follows....



Strictly abide by the ""Regulations on the protection of computer software"" of the people's Republic of China, will not collect your personal information for any reason, and will not send them to the server or any third party server. Fully comply with the principles stated in the privacy white paper of Google Chrome, and can only be enhanced on this basis, but not weakened. In the future, it is possible to send usage statistics and crash reports to the server with the authorization of users. In addition, no data will be sent to the server.

Click to expand...

"
"Jun 12, 2022",Q&A - How can malware remain on PC after I format my HDD?,"How can a virus remain in the system after formatting the whole HDD?
What are the types and how to remove them?
I'm asking because my pc is infected with fully undetectable remote access trojan.
Who remain after re-installation on my operating system.(with media created on clean pc of course)
Every opinion is WELCOME !
THANKS !","Hello, Welcome to MalwareTips.
I'm nasdaq and will be helping you.

If you can please print this topic it will make it easier for you to follow the instructions and complete all of the necessary steps in the order listed.
===

To answer your question read about it.

How can malware remain on PC after I format my HDD?









How can malware remain on PC after I format my HDD?


How can a virus remain in the system after formatting the whole HDD? What are the ''types'' and how to remove them?




security.stackexchange.com




===

For now let see what we can find in your computer.


Download the Farbar Recovery Scan Tool (FRST).
Choose the 32 or 64 bit version for your system.
and save it to a folder on your computer's Desktop.
Ensure that you are in an Administrator Account
Double-click to run it. When the tool opens click Yes to disclaimer.
Check the boxes as seen here:




Press Scan button.
It will make a log (FRST.txt) in the same directory the tool is run. Please copy and paste it to your reply.
The first time the tool is run, it makes also another log (Addition.txt). Please attach it to your reply.

How to attach a file to your reply:
In the Reply section in the bottom of the topic Click the ""more reply Options"" button.
[img=[URL]http://deeprybka.trojaner-board.de/eset/eng/attachlogs.png[/URL]]

Attach the file(s). A 2 Steps process.
Reply to this topic.
Select the ""Choose a File"" navigate to the location of the File.
Click the file you wish to Attach. <- Step 1.
Click Attach this file. <- Step 2.
Click the Add reply button.

Please post the logs for my review.

Let me know what problems persists.

Wait for further instructions

p.s.

The Farbar program is updated often.
If it's identified as suspicious by your Anti-Virus program trust it if Downloaded from the link I provided.
You should restore the program from the Quarantine folder.
<<<>>>"
"Jun 12, 2022",Q&A - How can malware remain on PC after I format my HDD?,"How can a virus remain in the system after formatting the whole HDD?
What are the types and how to remove them?
I'm asking because my pc is infected with fully undetectable remote access trojan.
Who remain after re-installation on my operating system.(with media created on clean pc of course)
Every opinion is WELCOME !
THANKS !","Hi,
Is the problem solved?"
"Jun 12, 2022",Q&A - How can malware remain on PC after I format my HDD?,"How can a virus remain in the system after formatting the whole HDD?
What are the types and how to remove them?
I'm asking because my pc is infected with fully undetectable remote access trojan.
Who remain after re-installation on my operating system.(with media created on clean pc of course)
Every opinion is WELCOME !
THANKS !","The problem is that im currently on linux,so i can't provide logs."
"Jun 12, 2022",Q&A - How can malware remain on PC after I format my HDD?,"How can a virus remain in the system after formatting the whole HDD?
What are the types and how to remove them?
I'm asking because my pc is infected with fully undetectable remote access trojan.
Who remain after re-installation on my operating system.(with media created on clean pc of course)
Every opinion is WELCOME !
THANKS !","Hi,

I'm not a Linux user so cannot guide you.
However I have found this article on how you can run a .exe file such as the Farbar program.









Can Linux Run .exe Files? How to Run Windows Software on Linux


You don't have to sacrifice the appeal of Windows software for the stability, security, customizability, and old-school cool of Linux. This wikiHow guide will walk you through running Windows executable (EXE) applications and games on any...




www.wikihow.com





If you are able to run the Farbar program and post the logs I may be able to help you further.

If you know someone who can show you how the get help from him."
"Jun 12, 2022",Q&A - How can malware remain on PC after I format my HDD?,"How can a virus remain in the system after formatting the whole HDD?
What are the types and how to remove them?
I'm asking because my pc is infected with fully undetectable remote access trojan.
Who remain after re-installation on my operating system.(with media created on clean pc of course)
Every opinion is WELCOME !
THANKS !","Moderation notes: I moved the topic from ""Windows Malware Removal Help"" into the ""General Security Discussions"" forum so that others can reply to your question.
Reasons: 
There is no trained helper for Linux based malware removal in this forum. That means no one here can assist you, but people might still be able to answer to your more general question.
Farbar is not suitable for Linux malware removal, even if it ran, e.g., with Wine, it will look for Windows specific autostart locations which do not exist on Linux.

I will compose a more general answer later today, when I got some more time."
"Jun 12, 2022",Q&A - How can malware remain on PC after I format my HDD?,"How can a virus remain in the system after formatting the whole HDD?
What are the types and how to remove them?
I'm asking because my pc is infected with fully undetectable remote access trojan.
Who remain after re-installation on my operating system.(with media created on clean pc of course)
Every opinion is WELCOME !
THANKS !","

What's your distro? How did you know that you have a remote access trojan on your linux distro? Do you have iptables switched on? ( like ubuntu have apps like ufw/gufw as the front end for iptable, which when switched on can block incoming connections not originated from your pc). What router do you have? Most low end internet service provider's supplied routers never gets updated and can become part of botnets. For the sake of safety, disconnect your LAN, switch off all iot devices, switch off your router, if possible reset and update firmware, reset your bios, boot from a dvd (don't use bootable usb) of your preffered linux distro, remove all partitions , recreate all partitions, then install your distro and if possible encrypt your drive ( I would prefer a distro with drive encryption capability, pop os provides an option to encrypt the entire drive), enable the iptable firewall after install. Use nextdns system wide and use TLS Dns encryption ( you can edit ""systemd-resolved"" file to add ip address for Next dns, information is available on nextdns settings page, you can use ""sudo gedit /etc/systemd/resolved.conf"" command to get graphical editing of the system file.). You can alternatively use Safing Portmaster to control apps on your linux distro. Connect to the net only after doing these steps.
1.https://www.linux.com/topic/desktop/security-tools-check-viruses-and-malware-linux/"
"Jun 12, 2022",Q&A - How can malware remain on PC after I format my HDD?,"How can a virus remain in the system after formatting the whole HDD?
What are the types and how to remove them?
I'm asking because my pc is infected with fully undetectable remote access trojan.
Who remain after re-installation on my operating system.(with media created on clean pc of course)
Every opinion is WELCOME !
THANKS !","It is possible that the device firmware is infected with the Malware/RAT. 
This is more common if you have purchased a used device rather than new.

You can try dumping the BIOS/firmware and scanning it for malware.

Make sure you are running the latest BIOS/firmware and security updates for all your devices motherboard, router etc."
